Date,Actual,Predicted,Persistence,Residual
2023-01-02,80.26000213623047,78.2236,79.55999755859375,2.0363998413085938
2023-01-09,74.62999725341797,82.57572,80.26000213623047,-7.9457244873046875
2023-01-16,79.86000061035156,74.5533,74.62999725341797,5.30670166015625
2023-01-23,81.62000274658203,81.949356,79.86000061035156,-0.32935333251953125
2023-01-30,77.9000015258789,80.24463,81.62000274658203,-2.3446273803710938
2023-02-06,74.11000061035156,78.67447,77.9000015258789,-4.5644683837890625
2023-02-13,80.13999938964844,74.00347,74.11000061035156,6.136528015136719
2023-02-20,76.33999633789062,82.17413,80.13999938964844,-5.834136962890625
2023-02-27,75.68000030517578,75.80473,76.33999633789062,-0.12473297119140625
2023-03-06,80.45999908447266,78.51382,75.68000030517578,1.9461822509765625
2023-03-13,74.80000305175781,80.93347,80.45999908447266,-6.1334686279296875
2023-03-20,67.63999938964844,77.10324,74.80000305175781,-9.463241577148438
2023-03-27,72.80999755859375,67.91699,67.63999938964844,4.89300537109375
2023-04-03,80.41999816894531,70.24692,72.80999755859375,10.173080444335938
2023-04-10,79.73999786376953,77.437096,80.41999816894531,2.3029022216796875
2023-04-17,80.83000183105469,79.332405,79.73999786376953,1.4975967407226562
2023-04-24,78.76000213623047,81.09667,80.83000183105469,-2.336669921875
2023-05-01,75.66000366210938,80.79835,78.76000213623047,-5.138343811035156
2023-05-08,73.16000366210938,76.97034,75.66000366210938,-3.810333251953125
2023-05-15,71.11000061035156,72.73782,73.16000366210938,-1.6278228759765625
2023-05-22,71.98999786376953,72.797295,71.11000061035156,-0.8072967529296875
2023-05-29,72.66999816894531,70.18004,71.98999786376953,2.489959716796875
2023-06-05,72.1500015258789,70.09302,72.66999816894531,2.0569839477539062
2023-06-12,67.12000274658203,71.60246,72.1500015258789,-4.482460021972656
2023-06-19,71.77999877929688,64.590744,67.12000274658203,7.1892547607421875
2023-06-26,69.37000274658203,69.712,71.77999877929688,-0.3419952392578125
2023-07-03,69.79000091552734,70.65736,69.37000274658203,-0.8673553466796875
2023-07-10,72.98999786376953,71.26204,69.79000091552734,1.7279586791992188
2023-07-17,74.1500015258789,71.80409,72.98999786376953,2.3459091186523438
2023-07-24,78.73999786376953,70.40212,74.1500015258789,8.337875366210938
2023-07-31,81.80000305175781,77.720116,78.73999786376953,4.079887390136719
2023-08-07,81.94000244140625,78.20057,81.80000305175781,3.7394332885742188
2023-08-14,82.51000213623047,79.67887,81.94000244140625,2.8311309814453125
2023-08-21,80.72000122070312,82.04501,82.51000213623047,-1.32501220703125
2023-08-28,80.0999984741211,79.97627,80.72000122070312,0.12372589111328125
2023-09-04,85.55000305175781,80.457054,80.0999984741211,5.092948913574219
2023-09-11,87.29000091552734,83.11218,85.55000305175781,4.177818298339844
2023-09-18,91.4800033569336,88.4237,87.29000091552734,3.056304931640625
2023-09-25,89.68000030517578,88.63959,91.4800033569336,1.0404129028320312
2023-10-02,88.81999969482423,88.73418,89.68000030517578,0.08582305908204546
2023-10-09,86.37999725341797,86.53963,88.81999969482423,-0.15962982177734375
2023-10-16,86.66000366210938,83.77193,86.37999725341797,2.8880767822265625
2023-10-23,85.48999786376953,85.663795,86.66000366210938,-0.173797607421875
2023-10-30,82.30999755859375,82.52782,85.48999786376953,-0.2178192138671875
2023-11-06,80.81999969482422,80.91203,82.30999755859375,-0.09203338623046875
2023-11-13,78.26000213623047,77.72029,80.81999969482422,0.5397109985351562
2023-11-20,77.5999984741211,77.936676,78.26000213623047,-0.33667755126953125
2023-11-27,74.86000061035156,75.81517,77.5999984741211,-0.955169677734375
2023-12-04,73.04000091552734,71.21384,74.86000061035156,1.8261642456054688
2023-12-11,71.31999969482422,71.962006,73.04000091552734,-0.6420059204101562
2023-12-18,72.47000122070312,69.30473,71.31999969482422,3.1652679443359375
2023-12-25,73.55999755859375,68.81577,72.47000122070312,4.744224548339844
2024-01-01,71.6500015258789,69.61181,73.55999755859375,2.0381927490234375
2024-01-08,70.7699966430664,71.26291,71.6500015258789,-0.49291229248046875
2024-01-15,72.68000030517578,70.77265,70.7699966430664,1.9073486328125
2024-01-22,75.19000244140625,71.79873,72.68000030517578,3.3912734985351562
2024-01-29,76.77999877929688,71.94704,75.19000244140625,4.8329620361328125
2024-02-05,72.77999877929688,75.48907,76.77999877929688,-2.7090682983398438
2024-02-12,76.91999816894531,72.81304,72.77999877929688,4.106956481933594
2024-02-19,79.19000244140625,76.88126,76.91999816894531,2.3087387084960938
2024-02-26,77.58000183105469,77.74153,79.19000244140625,-0.161529541015625
2024-03-04,78.73999786376953,77.692795,77.58000183105469,1.0472030639648438
2024-03-11,77.93000030517578,80.180664,78.73999786376953,-2.2506637573242188
2024-03-18,82.72000122070312,77.16902,77.93000030517578,5.5509796142578125
2024-03-25,81.94999694824219,83.2339,82.72000122070312,-1.283905029296875
2024-04-01,83.70999908447266,79.67609,81.94999694824219,4.033912658691406
2024-04-08,86.43000030517578,83.98254,83.70999908447266,2.4474639892578125
2024-04-15,85.41000366210938,82.66413,86.43000030517578,2.7458724975585938
2024-04-22,82.8499984741211,82.59577,85.41000366210938,0.2542266845703125
2024-04-29,82.62999725341797,83.10206,82.8499984741211,-0.4720611572265625
2024-05-06,78.4800033569336,83.45981,82.62999725341797,-4.979804992675781
2024-05-13,79.12000274658203,79.20252,78.4800033569336,-0.08251953125
2024-05-20,79.80000305175781,79.36022,79.12000274658203,0.43978118896484375
2024-05-27,77.72000122070312,80.59589,79.80000305175781,-2.875885009765625
2024-06-03,74.22000122070312,73.40067,77.72000122070312,0.8193283081054688
2024-06-10,77.73999786376953,72.94626,74.22000122070312,4.793739318847656
2024-06-17,80.33000183105469,79.249565,77.73999786376953,1.0804367065429688
2024-06-24,81.62999725341797,78.57272,80.33000183105469,3.0572738647460938
2024-07-01,83.37999725341797,80.10861,81.62999725341797,3.2713851928710938
2024-07-08,82.33000183105469,83.69418,83.37999725341797,-1.3641815185546875
2024-07-15,81.91000366210938,80.47395,82.33000183105469,1.4360504150390625
2024-07-22,79.77999877929688,80.151375,81.91000366210938,-0.37137603759765625
2024-07-29,75.80999755859375,80.60814,79.77999877929688,-4.7981414794921875
2024-08-05,72.94000244140625,76.8289,75.80999755859375,-3.8889007568359375
2024-08-12,80.05999755859375,72.60248,72.94000244140625,7.45751953125
2024-08-19,74.37000274658203,81.504524,80.05999755859375,-7.134521484375
2024-08-26,77.41999816894531,70.28164,74.37000274658203,7.138359069824219
2024-09-02,73.55000305175781,79.06526,77.41999816894531,-5.5152587890625
2024-09-09,68.70999908447266,72.03114,73.55000305175781,-3.3211441040039062
2024-09-16,70.08999633789062,73.72159,68.70999908447266,-3.631591796875
2024-09-23,70.37000274658203,70.52594,70.08999633789062,-0.15593719482421875
2024-09-30,68.16999816894531,70.30994,70.37000274658203,-2.1399383544921875
2024-10-07,77.13999938964844,70.81927,68.16999816894531,6.320732116699219
2024-10-14,73.83000183105469,76.38456,77.13999938964844,-2.5545578002929688
2024-10-21,70.55999755859375,72.06746,73.83000183105469,-1.5074615478515625
2024-10-28,67.37999725341797,71.94836,70.55999755859375,-4.568359375
2024-11-04,71.47000122070312,65.70392,67.37999725341797,5.766082763671875
2024-11-11,68.04000091552734,70.640495,71.47000122070312,-2.600494384765625
2024-11-18,69.16000366210938,68.12826,68.04000091552734,1.0317459106445312
2024-11-25,68.94000244140625,70.970215,69.16000366210938,-2.03021240234375
2024-12-02,68.0999984741211,71.70982,68.94000244140625,-3.6098251342773438
2024-12-09,68.37000274658203,67.63063,68.0999984741211,0.7393722534179688
2024-12-16,70.70999908447266,68.04039,68.37000274658203,2.6696090698242188
2024-12-23,69.23999786376953,69.36985,70.70999908447266,-0.129852294921875
2024-12-30,70.98999786376953,69.02393,69.23999786376953,1.966064453125
