Date,Actual,Predicted,Residual
2023-01-02,80.26000213623047,79.77628,0.4837188720703125
2023-01-09,74.62999725341797,77.3545,-2.7245025634765625
2023-01-16,79.86000061035156,78.884834,0.9751663208007812
2023-01-23,81.62000274658203,81.27882,0.3411865234375
2023-01-30,77.9000015258789,79.901535,-2.0015335083007812
2023-02-06,74.11000061035156,74.81727,-0.7072677612304688
2023-02-13,80.13999938964844,77.47238,2.6676177978515625
2023-02-20,76.33999633789062,74.67182,1.6681747436523438
2023-02-27,75.68000030517578,75.120636,0.5593643188476562
2023-03-06,80.45999908447266,77.72416,2.73583984375
2023-03-13,74.80000305175781,73.31245,1.4875564575195312
2023-03-20,67.63999938964844,70.754456,-3.1144561767578125
2023-03-27,72.80999755859375,69.74106,3.068939208984375
2023-04-03,80.41999816894531,71.88959,8.530410766601562
2023-04-10,79.73999786376953,77.86701,1.87298583984375
2023-04-17,80.83000183105469,83.27531,-2.4453048706054688
2023-04-24,78.76000213623047,82.716286,-3.9562835693359375
2023-05-01,75.66000366210938,81.19933,-5.539329528808594
2023-05-08,73.16000366210938,76.004654,-2.8446502685546875
2023-05-15,71.11000061035156,70.54456,0.5654373168945312
2023-05-22,71.98999786376953,69.34798,2.6420211791992188
2023-05-29,72.66999816894531,68.365875,4.3041229248046875
2023-06-05,72.1500015258789,69.135445,3.014556884765625
2023-06-12,67.12000274658203,68.755165,-1.635162353515625
2023-06-19,71.77999877929688,67.14024,4.6397552490234375
2023-06-26,69.37000274658203,69.17113,0.19887542724609375
2023-07-03,69.79000091552734,67.30983,2.4801712036132812
2023-07-10,72.98999786376953,73.12467,-0.134674072265625
2023-07-17,74.1500015258789,70.43011,3.7198944091796875
2023-07-24,78.73999786376953,75.44434,3.295654296875
2023-07-31,81.80000305175781,79.23476,2.56524658203125
2023-08-07,81.94000244140625,81.84877,0.0912322998046875
2023-08-14,82.51000213623047,81.99439,0.5156097412109375
2023-08-21,80.72000122070312,81.17511,-0.455108642578125
2023-08-28,80.0999984741211,79.966034,0.13396453857421875
2023-09-04,85.55000305175781,80.79532,4.7546844482421875
2023-09-11,87.29000091552734,83.05718,4.232818603515625
2023-09-18,91.4800033569336,87.2106,4.269401550292969
2023-09-25,89.68000030517578,89.473015,0.2069854736328125
2023-10-02,88.81999969482422,89.09698,-0.2769775390625
2023-10-09,86.37999725341797,86.65333,-0.2733306884765625
2023-10-16,86.66000366210938,85.26355,1.396453857421875
2023-10-23,85.48999786376953,87.753494,-2.2634963989257812
2023-10-30,82.30999755859375,82.347206,-0.03720855712890625
2023-11-06,80.81999969482422,80.15196,0.6680374145507812
2023-11-13,78.26000213623047,75.958534,2.3014678955078125
2023-11-20,77.5999984741211,77.05001,0.54998779296875
2023-11-27,74.86000061035156,75.462524,-0.6025238037109375
2023-12-04,73.04000091552734,72.67141,0.36859130859375
2023-12-11,71.31999969482422,71.05574,0.26425933837890625
2023-12-18,72.47000122070312,70.89073,1.5792694091796875
2023-12-25,73.55999755859375,69.916,3.6439971923828125
2024-01-01,71.6500015258789,69.96762,1.6823806762695312
2024-01-08,70.7699966430664,68.86993,1.9000701904296875
2024-01-15,72.68000030517578,69.087166,3.59283447265625
2024-01-22,75.19000244140625,69.56451,5.625495910644531
2024-01-29,76.77999877929688,77.41763,-0.63763427734375
2024-02-05,72.77999877929688,74.15728,-1.3772811889648438
2024-02-12,76.91999816894531,74.00714,2.9128570556640625
2024-02-19,79.19000244140625,77.65641,1.5335922241210938
2024-02-26,77.58000183105469,76.121895,1.4581069946289062
2024-03-04,78.73999786376953,78.48151,0.25849151611328125
2024-03-11,77.93000030517578,76.32676,1.603240966796875
2024-03-18,82.72000122070312,81.375786,1.3442153930664062
2024-03-25,81.94999694824219,82.21125,-0.26125335693359375
2024-04-01,83.70999908447266,82.11471,1.5952911376953125
2024-04-08,86.43000030517578,84.92582,1.504180908203125
2024-04-15,85.41000366210938,85.15238,0.25762176513671875
2024-04-22,82.8499984741211,84.78125,-1.9312515258789062
2024-04-29,82.62999725341797,83.991646,-1.3616485595703125
2024-05-06,78.4800033569336,77.58153,0.8984756469726562
2024-05-13,79.12000274658203,79.26949,-0.1494903564453125
2024-05-20,79.80000305175781,81.167404,-1.367401123046875
2024-05-27,77.72000122070312,79.128395,-1.4083938598632812
2024-06-03,74.22000122070312,76.3124,-2.0923995971679688
2024-06-10,77.73999786376953,73.86576,3.874237060546875
2024-06-17,80.33000183105469,76.759926,3.5700759887695312
2024-06-24,81.62999725341797,82.093575,-0.4635772705078125
2024-07-01,83.37999725341797,83.09874,0.28125762939453125
2024-07-08,82.33000183105469,82.41338,-0.08338165283203125
2024-07-15,81.91000366210938,81.85396,0.0560455322265625
2024-07-22,79.77999877929688,80.9508,-1.1707992553710938
2024-07-29,75.80999755859375,76.70391,-0.8939132690429688
2024-08-05,72.94000244140625,72.80924,0.13076019287109375
2024-08-12,80.05999755859375,72.8946,7.165397644042969
